#OTU ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76
Copromonas sp900066535 PLC218.7	27696	15082	4818	21988	40845	6628	20951	5243	100560	27018	71387	13532	20958	14494	5845	43990	55940	7340	25444	61865	20432	24805	76025	82003	6555	19116	26221	74913	29938	8401	13123	14534	9742	1796	671	18147	40521	20525	5066	33097	46997	7532	0	3017	86746	0	6043	21189	729	32435	17144	6353	0	17104	11303	0	9841	2417	2553	0	14872	23110	31638	10309	5060	48888	0	21477	4306	7018	20041	20933	43051	11414	9167	34692
Bifidobacterium pseudocatenulatum PLC219.23	80670	100422	0	75349	8462	101719	27617	0	35733	0	39498	4031	53703	114185	14530	47955	33542	5971	2723	46879	16333	0	22246	74583	137207	51564	8905	40365	23115	0	0	11084	0	14530	28741	51475	435104	3033	102879	105723	68746	26159	279924	87394	0	0	867	28970	73639	86791	120232	1484	33599	46310	0	63194	23444	22433	744	58574	38085	0	50489	132149	78627	164545	215447	124646	62038	81481	0	4336	73059	53960	81941	11090
Lachnospiraceae PLC221.20	919	0	0	1782	9242	1819	264403	2533	826	704	1453	2063	1160	428	418	0	848	708	4079	1237	1036	0	0	4359	1092	5592	2165	1403	1344	1996	1844	4177	18465	0	0	1546	0	2223	0	1427	846	1431	0	2228	770	2197	2338	1019	773	2084	1014	14519	0	2502	577	0	1862	3203	10027	0	2859	2638	1354	3791	1036	2632	0	4907	0	1183	2462	5664	2307	667	2813	1038
Eubacterium_F sp003491505 PLC221.25	1724	3156	0	1602	11839	3057	208859	0	227619	871	2252	13028	2584	2525	59679	9710	4152	1877	5129	2035	23738	527	0	24176	3333	4045	3200	2466	1708	4252	24507	40747	5814	185079	4525	65881	7622	2509	43400	2470	2271	1306	0	2169	2990	1296	4639	972	0	1241	23313	15773	0	130702	2971	4756	1866	1925	1873	0	6912	26514	42403	17398	5231	1031	0	54757	0	22655	5880	4549	4700	8286	6782	2857
Christensenellales PLC221.39	0	3845	0	519	2849	21252	1767478	16723	0	22510	2482	2644	1146	0	51048	34954	3834	6468	12756	0	37212	0	0	0	5760	0	3253	1782	0	5053	2726	14024	10147	19600	612	8028	0	2432	15540	0	1164	3645	691	596	1638	0	19555	11280	0	2545	18940	12875	3024	28494	0	3849	4960	4168	605	49269	9927	3565	3338	8567	1506	0	4433	46247	561	28848	13804	19949	13274	2231	1672	5627
Anaerotardibacter sp000435475 PLC221.45	24922	62732	3977	9709	59062	75176	1112990	60548	63769	116097	184591	37706	77032	54329	63378	14926	23678	78862	190407	87572	49961	28332	35972	56934	67997	148641	57476	108192	90602	64073	30936	150014	32004	60724	13241	98297	70851	171661	100274	160580	42532	49817	12130	60344	14571	0	83190	84737	37515	48826	95839	58148	18651	131622	0	18461	57593	64520	32253	51279	48069	58879	48489	126290	97883	83041	22256	236503	14910	175752	45954	162917	270219	64083	62928	22628
Alloprevotella sp900540885 PLC222.17	1138	14037	1713	2760	15098	9246	14022	0	34788	73523	21974	211646	16597	4998	4261	24531	6814	66873	4621	1052	6662	23354	29447	0	29970	0	12485	1711	1610	40443	170401	6765	455	40998	0	14953	0	0	6111	2089	5278	6362	0	0	13568	0	28207	1950	17962	0	6940	9780	10080	24424	0	0	0	0	1172	6046	10685	0	33471	3215	69133	4623	0	12904	0	9488	15710	5951	61520	12234	18505	6637
Dialister sp900541485 PLC222.21	42054	10287	667469	15246	18684	22298	23985	9427	33772	16734	9350	43538	22335	11471	3515	1336	37909	11927	31997	29068	5939	16899	12224	52610	17435	23395	56387	27772	22571	129584	35322	33791	10960	761	0	17419	57723	23336	3280	22290	9290	15033	4114	5953	17112	0	16394	5545	2053	6692	22793	16478	0	35201	1451	0	11157	68616	6043	998	15309	36000	20101	95750	9235	27000	0	43395	3891	49665	16815	25785	12139	8745	25778	40978
Bacteroides uniformis PLC223.2	2190	128906	1821	22135	121328	24957	45331	2034	70302	149547	214974	91057	36018	82242	133764	85379	24075	450014	3921	0	82273	0	0	15167	51470	106170	45830	0	2193	124152	103473	0	27707	0	13804	194073	10276	10442	50301	51474	230647	6416	0	808	190635	0	129570	0	5093	203174	0	60033	59273	105773	0	26940	9513	60112	6933	15943	22475	25713	215182	11041	44374	0	9349	30624	161774	64598	68243	3204	135994	89687	24687	46262
Dysosmobacter sp001916835 PLC223.22	1590	26339	526	3266	127360	55016	30057	2510	22656	133341	3417	123889	7472	23485	82044	0	39425	41965	32319	12667	94461	2640	2018	6630	5880	4788	42399	21999	22367	0	201196	60252	45957	2046	0	17247	8888	25503	0	39564	6619	15750	748	0	2248	0	31339	11440	0	0	62855	59619	0	98802	0	0	3243	5871	690	0	6721	24631	58454	26251	9193	3642	0	68086	1010	60046	83096	34730	47205	10932	18876	71819
