user_genome	classification	ID
PLC308.16	Acutalibacteraceae	Acutalibacteraceae PLC308.16
PLC308.32	Lachnospira eligens_A	Lachnospira eligens_A PLC308.32
PLC308.9	Catenibacterium sp000437715	Catenibacterium sp000437715 PLC308.9
PLC309.13	Agathobaculum butyriciproducens	Agathobaculum butyriciproducens PLC309.13
PLC309.14	Collinsella sp905214905	Collinsella sp905214905 PLC309.14
PLC309.19	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B PLC309.19
PLC309.20	Gemmiger qucibialis	Gemmiger qucibialis PLC309.20
PLC309.6	Clostridia	Clostridia PLC309.6
PLC309.7	Lachnospiraceae	Lachnospiraceae PLC309.7
PLC309.8	Oscillospiraceae	Oscillospiraceae PLC309.8
PLC309.9	Faecalibacillus intestinalis	Faecalibacillus intestinalis PLC309.9
PLC310.12	Prevotella copri_B	Prevotella copri_B PLC310.12
PLC310.16	Eubacterium_G ventriosum	Eubacterium_G ventriosum PLC310.16
PLC310.17	Agathobacter faecis	Agathobacter faecis PLC310.17
PLC310.18	Agathobacter rectalis	Agathobacter rectalis PLC310.18
PLC310.22	Parabacteroides merdae	Parabacteroides merdae PLC310.22
PLC310.24	Ligilactobacillus salivarius	Ligilactobacillus salivarius PLC310.24
PLC310.26	Dialister succinatiphilus	Dialister succinatiphilus PLC310.26
PLC310.27	Fimenecus sp000432435	Fimenecus sp000432435 PLC310.27
PLC310.4	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B PLC310.4
PLC310.7	Lactobacillus paragasseri	Lactobacillus paragasseri PLC310.7
PLC310.9	Acetatifactor sp900066565	Acetatifactor sp900066565 PLC310.9
PLC311.10	Fimenecus sp000432435	Fimenecus sp000432435 PLC311.10
PLC311.13	Acutalibacteraceae	Acutalibacteraceae PLC311.13
PLC311.14	Vescimonas coprocola	Vescimonas coprocola PLC311.14
PLC311.19	TANB77	TANB77 PLC311.19
PLC311.21	Christensenellales	Christensenellales PLC311.21
PLC311.24	Alistipes_A pullistercoris	Alistipes_A pullistercoris PLC311.24
PLC311.28	Collinsella	Collinsella PLC311.28
PLC311.31	Clostridium_A leptum	Clostridium_A leptum PLC311.31
PLC311.34	Bacteroides fragilis_A	Bacteroides fragilis_A PLC311.34
PLC311.38	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B PLC311.38
PLC311.39	Bifidobacterium adolescentis	Bifidobacterium adolescentis PLC311.39
PLC312.12	Anaerostipes hadrus	Anaerostipes hadrus PLC312.12
PLC312.2	Coprobacillus cateniformis	Coprobacillus cateniformis PLC312.2
PLC312.27	Gemmiger qucibialis	Gemmiger qucibialis PLC312.27
PLC312.32	Faecousia sp003525905	Faecousia sp003525905 PLC312.32
PLC312.37	Bifidobacterium longum	Bifidobacterium longum PLC312.37
